"Product ID";"Brand";"Product Name";"Image URL";"Deeplink URL"
"10727034";"Apple";"Apple iPhone 8 256GB space grey";"http://d2wr8zbg9aclns.cloudfront.net/products/010/727/034/covers/205.jpeg";"https://www.rebuy.co.uk/sell/apple-iphone-8-256gb-space-grey_10727034"
"10727035";"Apple";"Apple iPhone 8 Plus 64GB space grey";"http://d2wr8zbg9aclns.cloudfront.net/products/010/727/035/covers/205.jpeg";"https://www.rebuy.co.uk/sell/apple-iphone-8-plus-64gb-space-grey_10727035"
"10727036";"Apple";"Apple iPhone 8 Plus 256GB space grey";"http://d2wr8zbg9aclns.cloudfront.net/products/010/727/036/covers/205.jpeg";"https://www.rebuy.co.uk/sell/apple-iphone-8-plus-256gb-space-grey_10727036"
"10727037";"Apple";"Apple iPhone X 64GB silver";"http://d2wr8zbg9aclns.cloudfront.net/products/010/727/037/covers/205.jpeg";"https://www.rebuy.co.uk/sell/apple-iphone-x-64gb-silver_10727037"
"10727038";"Apple";"Apple iPhone X 256GB silver";"http://d2wr8zbg9aclns.cloudfront.net/products/010/727/038/covers/205.jpeg";"https://www.rebuy.co.uk/sell/apple-iphone-x-256gb-silver_10727038"
"10727039";"Apple";"Apple iPhone X 64GB space grey";"http://d2wr8zbg9aclns.cloudfront.net/products/010/727/039/covers/205.jpeg";"https://www.rebuy.co.uk/sell/apple-iphone-x-64gb-space-grey_10727039"
"10727041";"Apple";"Apple iPhone X 256GB space grey";"http://d2wr8zbg9aclns.cloudfront.net/products/010/727/041/covers/205.jpeg";"https://www.rebuy.co.uk/sell/apple-iphone-x-256gb-space-grey_10727041"
"10727055";"Samsung";"Samsung G950F Galaxy S8 64GB coral blue";"http://d2wr8zbg9aclns.cloudfront.net/products/010/727/055/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-g950f-galaxy-s8-64gb-coral-blue_10727055"
"10730020";"Apple";"Apple iPhone 7 32GB jet black";"http://d2wr8zbg9aclns.cloudfront.net/products/010/730/020/covers/205.jpeg";"https://www.rebuy.co.uk/sell/apple-iphone-7-32gb-jet-black_10730020"
"10730021";"Apple";"Apple iPhone 7 Plus 32GB jet black";"http://d2wr8zbg9aclns.cloudfront.net/products/010/730/021/covers/205.jpeg";"https://www.rebuy.co.uk/sell/apple-iphone-7-plus-32gb-jet-black_10730021"
"10755662";"Samsung";"Samsung G955F Galaxy S8 Plus 64GB coral blue";"http://d2wr8zbg9aclns.cloudfront.net/products/010/755/662/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-g955f-galaxy-s8-plus-64gb-coral-blue_10755662"
"10902929";"Samsung";"Samsung N950F Galaxy Note 8 64GB deepsea blue";"http://d2wr8zbg9aclns.cloudfront.net/products/010/902/929/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-n950f-galaxy-note-8-64gb-deepsea-blue_10902929"
"10914400";"Samsung";"Samsung G955FD Galaxy S8 Plus DuoS 64GB midnight black";"http://d2wr8zbg9aclns.cloudfront.net/products/010/914/400/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-g955fd-galaxy-s8-plus-duos-64gb-midnight-black-b2b-trade_10914400"
"10922841";"Samsung";"Samsung G955FD Galaxy S8 Plus DuoS 64GB coral blue";"http://d2wr8zbg9aclns.cloudfront.net/products/010/922/841/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-g955fd-galaxy-s8-plus-duos-64gb-midnight-black_10922841"
"10922843";"Samsung";"Samsung G955FD Galaxy S8 Plus DuoS 64GB maple gold";"http://d2wr8zbg9aclns.cloudfront.net/products/010/922/843/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-g955fd-galaxy-s8-plus-duos-64gb-coral-blue_10922843"
"10922940";"Samsung";"Samsung G955F Galaxy S8 Plus 64GB rose pink";"http://d2wr8zbg9aclns.cloudfront.net/products/010/922/940/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-g955f-galaxy-s8-plus-64gb-orchid-grey_10922940"
"10923623";"Samsung";"Samsung G950F Galaxy S8 64GB rose pink";"http://d2wr8zbg9aclns.cloudfront.net/products/010/923/623/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-g950f-galaxy-s8-64gb-coral-blue_10923623"
"10935755";"Apple";"Apple iPhone 8 64GB rot [(PRODUCT) RED Special Edition]";"http://d2wr8zbg9aclns.cloudfront.net/products/010/935/755/covers/205.jpeg";"https://www.rebuy.co.uk/sell/apple-iphone-8-64gb-space-grau_10935755"
"10935756";"Apple";"Apple iPhone 8 256GB rot [(PRODUCT) RED Special Edition]";"http://d2wr8zbg9aclns.cloudfront.net/products/010/935/756/covers/205.jpeg";"https://www.rebuy.co.uk/sell/apple-iphone-8-64gb-rot-product-red-special-edition_10935756"
"10935757";"Apple";"Apple iPhone 8 Plus 64GB rot [(PRODUCT) RED Special Edition]";"http://d2wr8zbg9aclns.cloudfront.net/products/010/935/757/covers/205.jpeg";"https://www.rebuy.co.uk/sell/apple-iphone-8-plus-64gb-space-grau_10935757"
"10963939";"Samsung";"Samsung A600FD Galaxy A6 (2018) Dual SIM 32GB black";"http://d2wr8zbg9aclns.cloudfront.net/products/010/963/939/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-a600fd-galaxy-a6-2018-dual-sim-32gb-black_10963939"
"10963940";"Samsung";"Samsung A600FD Galaxy A6 (2018) Dual SIM 32GB gold";"http://d2wr8zbg9aclns.cloudfront.net/products/010/963/940/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-a600fd-galaxy-a6-2018-dual-sim-32gb-gold_10963940"
"10963941";"Samsung";"Samsung A600FD Galaxy A6 (2018) Dual SIM 32GB lavender";"http://d2wr8zbg9aclns.cloudfront.net/products/010/963/941/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-a600fd-galaxy-a6-2018-dual-sim-32gb-lavender_10963941"
"10963942";"Samsung";"Samsung A605FD Galaxy A6 Plus (2018) Dual SIM 32GB black";"http://d2wr8zbg9aclns.cloudfront.net/products/010/963/942/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-a605fd-galaxy-a6-plus-2018-dual-sim-32gb-black_10963942"
"10963943";"Samsung";"Samsung A605FD Galaxy A6 Plus (2018) Dual SIM 32GB gold";"http://d2wr8zbg9aclns.cloudfront.net/products/010/963/943/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-a605fd-galaxy-a6-plus-2018-dual-sim-32gb-gold_10963943"
"10963944";"Samsung";"Samsung A605FD Galaxy A6 Plus (2018) Dual SIM 32GB lavender";"http://d2wr8zbg9aclns.cloudfront.net/products/010/963/944/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-a605fd-galaxy-a6-plus-2018-dual-sim-32gb-lavender_10963944"
"10972723";"Samsung";"Samsung G9550 Galaxy S8 Plus DuoS 128GB orchid grey";"http://d2wr8zbg9aclns.cloudfront.net/products/010/972/723/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-g955f-galaxy-s8-plus-64gb-orchid-grey_10972723"
"10984871";"Samsung";"Samsung J720FD Galaxy J7 (2018) DUOS 32GB black";"http://d2wr8zbg9aclns.cloudfront.net/products/010/984/871/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-j730fd-galaxy-j7-2017-duos-16gb-black_10984871"
"10984872";"Samsung";"Samsung J720FD Galaxy J7 (2018) DUOS 32GB gold";"http://d2wr8zbg9aclns.cloudfront.net/products/010/984/872/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-j720fd-galaxy-j7-2018-duos-32gb-gold_10984872"
"10984873";"Samsung";"Samsung J720FD Galaxy J7 (2018) DUOS 32GB orchid grey";"http://d2wr8zbg9aclns.cloudfront.net/products/010/984/873/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-j720fd-galaxy-j7-2018-duos-32gb-orchid-grey_10984873"
"10988437";"Samsung";"Samsung N960F Galaxy Note 9 DUOS 128GB midnight black";"http://d2wr8zbg9aclns.cloudfront.net/products/010/988/437/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-n950fd-galaxy-note-8-duos-64gb-midnight-black_10988437"
"10988440";"Samsung";"Samsung N960F Galaxy Note 9 DUOS 512GB midnight black";"http://d2wr8zbg9aclns.cloudfront.net/products/010/988/440/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-n960f-galaxy-note-9-duos-128gb-midnight-black_10988440"
"10988442";"Samsung";"Samsung N960F Galaxy Note 9 DUOS 512GB ocean blue";"http://d2wr8zbg9aclns.cloudfront.net/products/010/988/442/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-n960f-galaxy-note-9-duos-512gb-midnight-black_10988442"
"10988444";"Samsung";"Samsung N960F Galaxy Note 9 DUOS 128GB ocean blue";"http://d2wr8zbg9aclns.cloudfront.net/products/010/988/444/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-n960f-galaxy-note-9-duos-512gb-ocean-blue_10988444"
"10999748";"Samsung";"Samsung G9550 Galaxy S8 Plus DuoS 128GB midnight black";"http://d2wr8zbg9aclns.cloudfront.net/products/010/999/748/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-g9550-galaxy-s8-plus-duos-128gb-orchid-grey_10999748"
"11006353";"Samsung";"Samsung J727P Galaxy J7 (2017) 16GB black";"http://d2wr8zbg9aclns.cloudfront.net/products/011/006/353/covers/205.jpeg";"https://www.rebuy.co.uk/sell/samsung-j727p-galaxy-j7-2017-16gb-black_11006353"
"11008284";"Apple";"Apple iPhone XR Dual SIM 64GB white";"http://d2wr8zbg9aclns.cloudfront.net/products/011/008/284/covers/205.jpeg";"https://www.rebuy.co.uk/sell/apple-iphone-xr-dual-sim-64gb-white_11008284"
"11008285";"Apple";"Apple iPhone XR Dual SIM 128GB white";"http://d2wr8zbg9aclns.cloudfront.net/products/011/008/285/covers/205.jpeg";"https://www.rebuy.co.uk/sell/apple-iphone-xr-dual-sim-128gb-white_11008285"
